time_s,request,aux_v,input_v,aux_good,power_enable,pvdd_v,audio_run,efuse_latched
0.0,0,12,48,0,0,0.0,0,0
0.01,0,12,48,0,0,0.0,0,0
0.02,0,12,48,0,0,0.0,0,0
0.03,0,12,48,0,0,0.0,0,0
0.04,0,12,48,0,0,0.0,0,0
0.05,0,12,48,0,0,0.0,0,0
0.06,0,12,48,0,0,0.0,0,0
0.07,0,12,48,0,0,0.0,0,0
0.08,0,12,48,0,0,0.0,0,0
0.09,0,12,48,0,0,0.0,0,0
0.1,0,12,48,0,0,0.0,0,0
0.11,0,12,48,0,0,0.0,0,0
0.12,0,12,48,0,0,0.0,0,0
0.13,0,12,48,0,0,0.0,0,0
0.14,0,12,48,0,0,0.0,0,0
0.15,0,12,48,0,0,0.0,0,0
0.16,0,12,48,0,0,0.0,0,0
0.17,0,12,48,0,0,0.0,0,0
0.18,0,12,48,0,0,0.0,0,0
0.19,0,12,48,0,0,0.0,0,0
0.2,0,12,48,0,0,0.0,0,0
0.21,0,12,48,0,0,0.0,0,0
0.22,0,12,48,0,0,0.0,0,0
0.23,0,12,48,0,0,0.0,0,0
0.24,0,12,48,0,0,0.0,0,0
0.25,0,12,48,0,0,0.0,0,0
0.26,0,12,48,0,0,0.0,0,0
0.27,0,12,48,0,0,0.0,0,0
0.28,0,12,48,0,0,0.0,0,0
0.29,0,12,48,0,0,0.0,0,0
0.3,0,12,48,0,0,0.0,0,0
0.31,0,12,48,0,0,0.0,0,0
0.32,0,12,48,0,0,0.0,0,0
0.33,0,12,48,0,0,0.0,0,0
0.34,0,12,48,0,0,0.0,0,0
0.35,0,12,48,0,0,0.0,0,0
0.36,0,12,48,0,0,0.0,0,0
0.37,0,12,48,0,0,0.0,0,0
0.38,0,12,48,0,0,0.0,0,0
0.39,0,12,48,0,0,0.0,0,0
0.4,0,12,48,0,0,0.0,0,0
0.41,0,12,48,0,0,0.0,0,0
0.42,0,12,48,0,0,0.0,0,0
0.43,0,12,48,0,0,0.0,0,0
0.44,0,12,48,0,0,0.0,0,0
0.45,0,12,48,0,0,0.0,0,0
0.46,0,12,48,0,0,0.0,0,0
0.47,0,12,48,0,0,0.0,0,0
0.48,0,12,48,0,0,0.0,0,0
0.49,0,12,48,0,0,0.0,0,0
0.5,0,12,48,0,0,0.0,0,0
0.51,0,12,48,0,0,0.0,0,0
0.52,0,12,48,0,0,0.0,0,0
0.53,0,12,48,0,0,0.0,0,0
0.54,0,12,48,0,0,0.0,0,0
0.55,0,12,48,0,0,0.0,0,0
0.56,0,12,48,0,0,0.0,0,0
0.57,0,12,48,0,0,0.0,0,0
0.58,0,12,48,0,0,0.0,0,0
0.59,0,12,48,0,0,0.0,0,0
0.6,0,12,48,0,0,0.0,0,0
0.61,0,12,48,0,0,0.0,0,0
0.62,0,12,48,0,0,0.0,0,0
0.63,0,12,48,0,0,0.0,0,0
0.64,0,12,48,0,0,0.0,0,0
0.65,0,12,48,0,0,0.0,0,0
0.66,0,12,48,0,0,0.0,0,0
0.67,0,12,48,0,0,0.0,0,0
0.68,0,12,48,0,0,0.0,0,0
0.69,0,12,48,0,0,0.0,0,0
0.7,0,12,48,0,0,0.0,0,0
0.71,0,12,48,0,0,0.0,0,0
0.72,0,12,48,0,0,0.0,0,0
0.73,0,12,48,0,0,0.0,0,0
0.74,0,12,48,0,0,0.0,0,0
0.75,0,12,48,0,0,0.0,0,0
0.76,0,12,48,0,0,0.0,0,0
0.77,0,12,48,0,0,0.0,0,0
0.78,0,12,48,0,0,0.0,0,0
0.79,0,12,48,0,0,0.0,0,0
0.8,0,12,48,0,0,0.0,0,0
0.81,0,12,48,0,0,0.0,0,0
0.82,0,12,48,0,0,0.0,0,0
0.83,0,12,48,0,0,0.0,0,0
0.84,0,12,48,0,0,0.0,0,0
0.85,0,12,48,0,0,0.0,0,0
0.86,0,12,48,0,0,0.0,0,0
0.87,0,12,48,0,0,0.0,0,0
0.88,0,12,48,0,0,0.0,0,0
0.89,0,12,48,0,0,0.0,0,0
0.9,0,12,48,0,0,0.0,0,0
0.91,0,12,48,0,0,0.0,0,0
0.92,0,12,48,0,0,0.0,0,0
0.93,0,12,48,0,0,0.0,0,0
0.94,0,12,48,0,0,0.0,0,0
0.95,0,12,48,0,0,0.0,0,0
0.96,0,12,48,0,0,0.0,0,0
0.97,0,12,48,0,0,0.0,0,0
0.98,0,12,48,0,0,0.0,0,0
0.99,0,12,48,0,0,0.0,0,0
1.0,0,12,48,0,0,0.0,0,0
1.01,1,12,48,0,0,0.0,0,0
1.02,1,12,48,1,1,0.0219,0,0
1.03,1,12,48,1,1,0.2404,0,0
1.04,1,12,48,1,1,0.4589,0,0
1.05,1,12,48,1,1,0.6774,0,0
1.06,1,12,48,1,1,0.896,0,0
1.07,1,12,48,1,1,1.1145,0,0
1.08,1,12,48,1,1,1.333,0,0
1.09,1,12,48,1,1,1.5516,0,0
1.1,1,12,48,1,1,1.7701,0,0
1.11,1,12,48,1,1,1.9886,0,0
1.12,1,12,48,1,1,2.2072,0,0
